id_reclamo,distancia_centro_km,conexiones_afectadas,calificacion_atencion
5FF2955AE990FFE,48.92,24.0,4.9
592D4886E703955,16.96,7.0,5.0
868CE9DD6EA5A49,14.13,32.0,
2452631673F6A6F,2.36,256.0,4.5
0D8FE05A0AC4047,49.07,16.0,5.0
B2A5CEF20994F2E,62.83,36.0,
D0263902D2334C0,0.4,63.0,3.3
FE2ED1E30215210,0.4,15.0,4.3
6F855252C16BFF6,51.08,32.0,4.0
32E295AA0806519,61.88,95.0,3.3
57C42866F3E91FC,14.8,16.0,5.0
7C839490557C6C1,15.06,89.0,2.5
E8E4E958D987506,9.44,,4.0
3199644056454CD,20.01,40.0,2.0
3E48E39E89C2709,10.26,,4.8
55416A228EEDD34,44.13,83.0,4.2
5C68BD49DA654E8,57.68,19.0,3.6
F7FE1B90E1ADD90,12.64,58.0,4.4
AD99343B4DA39CD,6.66,130.0,4.3
5AAC37767E6CE97,59.7,32.0,4.0
2A31DDF1B0F0794,10.98,166.0,3.2
35ED4FF37D420EE,4.06,591.0,4.4
945C43D89E18254,28.99,24.0,4.8
BB046361605DD41,62.0,370.0,
A5AA6C426E6E524,1.63,11.0,5.0
B0F839440DFFB46,66.82,10.0,5.0
11343F7BB1996CB,37.21,17.0,4.2
A050E103C082A69,23.41,16.0,1.6
0EC9DB855633573,0.67,40.0,
20220F436BC912E,69.16,5.0,4.1
5DA914C84D7313A,14.01,43.0,4.8
E9E4B51C17C767F,41.03,15.0,4.2
768C939FAA46A58,0.4,53.0,3.7
39BCC79748D73E8,95.07,18.0,4.5
42C70C2FB0D0BFA,0.4,228.0,3.3
D420CA7FE0E7ACD,39.84,20.0,4.3
4C83B574EA79AAE,63.22,39.0,4.5
017F940FED00E88,67.25,14.0,5.0
7FF8BF71AA23C27,90.27,12.0,4.2
4CFC01277022D16,46.34,46.0,3.5
2ECA3B475C5F6AD,12.26,9.0,
5E2885BECE47C14,24.98,27.0,1.6
0FD03E3C3EE0D4D,46.76,183.0,4.1
9DAF93250F73F4F,81.25,33.0,4.5
72ECB1241966E12,68.51,16.0,4.7
4C8493758F2F5C9,77.59,4.0,4.8
25E95F161D74313,50.11,,
AA9FFDE8CB14364,15.26,15.0,5.0
A4BD0BBC1D706FE,53.5,41.0,5.0
549D43B470FE194,14.96,4.0,3.6
AB41AA89BC24F91,42.96,87.0,3.2
FAE44E46F391F68,30.44,37.0,4.6
5F42D8E702F9A04,12.02,29.0,3.7
93E536021426709,0.4,87.0,5.0
35DC8ED089B4C71,15.32,32.0,2.4
A20DE08F15ED0E6,40.87,97.0,3.6
93C78493DC2AF52,68.04,131.0,4.2
D24AEC9041E749F,23.08,19.0,4.9
DF92DF52693D642,0.4,18.0,4.6
D763F8AF7B87E77,53.14,180.0,4.8
D0DAADB8C770FD5,21.91,16.0,5.0
43C25FE41A182B2,9.11,14.0,2.6
700F164D181171F,7.38,22.0,5.0
9AE4C4B732ECE24,0.4,54.0,4.3
2DA4B07EA18F5A5,78.71,6.0,2.6
607AFDBBFE422A0,15.39,18.0,4.0
284541E88882D19,22.33,194.0,4.3
8B2AE1B51FA82A7,2.42,13.0,4.5
6877915339AE11D,0.4,15.0,3.8
BF75BFC28BCFB75,0.4,12.0,3.8
A7D99D08E50B69B,59.29,69.0,
A4A67CFE261C313,36.83,22.0,3.3
8F8311346D0A243,36.71,29.0,4.4
6E20AB4DC365FA7,50.59,41.0,4.9
71663B0D7B93B5F,17.82,40.0,5.0
0537CEF4B2DD5A1,79.54,65.0,5.0
4D833AA817DAA85,50.18,55.0,5.0
346E17278B80107,13.87,18.0,2.3
D12B1BC81655795,63.09,9.0,
B5095AD57D769DD,15.67,160.0,
F9B4E9C10C5C66F,58.94,43.0,4.8
5F549215E34C233,7.37,13.0,4.8
7273572486B4FC5,31.63,3.0,5.0
ACAFF1BB369C373,41.42,67.0,4.7
BA195E82ED5BFAA,25.01,10.0,3.9
0523461715C6E77,2.21,37.0,4.4
1C4B089D8539576,11.76,14.0,4.2
AF2A3B8A5A9E892,8.28,116.0,5.0
BD4FD923ADB434A,87.54,8.0,4.5
9359E6FECE90B3B,65.14,23.0,3.8
A509E7488515963,57.84,60.0,4.7
6ED3F7F0D78B977,9.11,10.0,4.6
6A03D8BB70D6991,0.4,77.0,4.8
1306CAC07BDD4BF,5.87,7.0,4.6
4E559FA2648897A,10.22,37.0,4.2
B1FFDAB4C7CD655,30.6,18.0,4.0
28C5FB821950FAF,25.55,31.0,4.7
A7FD4943AACD287,77.03,59.0,3.4
64F1C1485315AC8,31.24,12.0,4.1
4EDB7837F3F236E,0.54,40.0,4.6
5ED44E3CA001373,39.04,62.0,4.1
36B4373FFD33E74,40.04,9.0,4.5
78006FF323CFB49,71.58,27.0,
7A3900DA5A3B0A1,29.46,26.0,2.9
FCAFC8BF26C3193,48.24,10.0,3.8
F12D8568B483695,54.49,,5.0
F9918956D1E3018,63.09,18.0,5.0
B231965DB3E6626,62.15,12.0,4.4
0F3308C40A6006A,6.14,19.0,4.8
846A1CD8365ABDC,28.8,,4.1
1127D921DE77F68,5.79,33.0,4.6
45B064D25F9681F,3.38,105.0,2.0
CDB3345FBC2369C,54.1,17.0,5.0
A5E92314A1655EA,6.96,2.0,5.0
FAD1DF1D7B6A895,60.35,27.0,5.0
C8FC7D2348D5591,3.75,8.0,3.1
EB1BA06D57BA6FB,38.29,52.0,4.4
095F2CFAC5B4296,64.87,134.0,4.8
406F5C62C2BA32F,23.75,29.0,4.9
62932636360957F,41.48,20.0,3.7
A54382AB98F799D,33.94,,
C72F717F21908E8,11.37,36.0,4.8
76AC8569BA6176A,12.41,27.0,4.5
89767521374C8A4,75.08,4.0,4.2
79F3ABE5781497F,73.97,40.0,4.0
43C34AAD4D3DCC1,50.58,56.0,5.0
808C4A2F611ADCD,46.51,61.0,4.1
B51B7A015507419,91.4,2.0,
50C2C5F1346B039,70.31,15.0,4.4
CAC12885DF76833,69.68,47.0,3.5
8D5D68F3CC1FB1B,7.63,16.0,4.2
2CE863445BB6BA6,17.7,10.0,
EA249E9EB818576,1.44,172.0,4.6
C2B6CD13E7957DF,66.8,52.0,4.4
E39B319B7CD7D64,17.17,31.0,
5F3B25FF8455668,0.97,39.0,4.2
16B012A05C1D5CA,21.77,28.0,4.2
04527D267F01262,10.9,,4.2
DAA4C7ED85F9234,34.52,16.0,3.9
6C409B15E83898A,3.51,11.0,4.8
3D3F8E5CCCFC3F8,10.33,15.0,3.8
4DB10BB2F4D4E8A,39.48,,4.6
EDFA1EE04C0E136,48.29,17.0,4.8
8E5D06D93C2021F,1.41,,4.8
E90ACA212BAE517,18.51,33.0,5.0
DDD123B6574B7E1,52.76,28.0,5.0
B7B82AB497DD3B3,85.03,29.0,4.8
2B4BA56EB209122,35.8,38.0,
EBC8A714565558B,75.52,68.0,
B20B78F06DA10E5,15.29,14.0,4.4
D5AC03D2BBC58AB,10.95,6.0,3.4
3C2C34396B238EE,13.49,34.0,4.4
F85E2A8FD8A0539,4.34,66.0,5.0
C8475AA302E9A42,76.51,,4.1
92A6F2633845C06,0.4,65.0,4.3
9CE35D7BC638E88,30.75,88.0,5.0
345DE7384F65C35,45.82,24.0,4.8
DF30FB1BDEA4D3B,70.84,9.0,4.5
8AA562F654F8F32,42.84,18.0,3.5
497A381A6F2689E,60.83,25.0,5.0
28577781E8B66DF,4.04,7.0,4.9
A5FC0A11F0B37F6,51.37,30.0,3.3
CC60EB394BD4E4F,59.03,66.0,
08D40C9259EB2ED,93.12,31.0,1.9
07F22E0DD426F16,7.02,145.0,4.7
38B0E2A9AB7A439,53.33,17.0,4.8
4E22471E39316A7,51.6,27.0,4.2
F6D23CC884E1259,35.96,37.0,2.1
1EAED547CE4E005,2.3,13.0,3.4
930BBAFDED62485,41.67,119.0,4.4
CA415118DD9AF51,64.6,33.0,3.0
E754954B9B81884,72.32,27.0,4.8
F0C790BE8769B6A,3.62,73.0,5.0
35D01689FF748A3,2.2,89.0,3.5
53C81C8382A9D7D,27.13,51.0,4.4
C73A5C14F460C76,34.45,29.0,3.7
69053C95620CA12,41.72,16.0,5.0
6FDD0839E3D1126,14.06,35.0,4.9
8B92E07D2845B55,2.88,13.0,3.9
8B3DF07B5210794,45.31,9.0,4.2
EC6BE1EEAEAE5BC,4.41,69.0,4.6
FF1384A4580F9E9,6.08,71.0,5.0
F1B16BB134408A1,60.78,9.0,5.0
43196C98153B5D1,72.41,44.0,4.4
51886B198733834,69.93,45.0,5.0
9C3F8D0B3459635,58.8,9.0,4.6
5DCF5DA4A9C2719,88.25,49.0,
27E1D7340DCF23B,1.76,47.0,4.7
5DB7F9DBF158F1D,91.36,52.0,3.5
7CFA2D50C8EB7E0,7.82,200.0,1.0
D192C93E6B39B6D,77.56,24.0,3.2
286227D0CB2DF57,43.42,13.0,2.0
76F8D446E4E3693,66.84,4.0,
F9D5FAD3A364425,38.34,97.0,2.9
CC257609AFEB2CB,48.14,550.0,3.9
ED11C26CA76AC75,0.4,60.0,4.9
140D795A94D870F,53.53,64.0,4.1
D33290338DFA4BB,8.26,10.0,3.8
96A62B09A40C59D,34.96,14.0,3.5
25B34F5562C2406,39.02,14.0,3.8
CED40C1861B137D,46.12,104.0,4.3
F4295AD9378BB1C,31.43,15.0,
90FDE72B5C86EEA,42.62,41.0,4.2
2FA3DE0AFAD43E0,54.6,17.0,4.4
33C866271655E62,38.64,32.0,4.1
2C260B2BFDB1EDC,17.96,9.0,5.0
4408DFEDCCDAF66,2.23,17.0,4.0
9EC75B02A8B8087,73.48,83.0,5.0
2E440B20F7ED26C,4.37,,5.0
D8952745BCF081B,10.82,37.0,2.8
56FB7546E2D4E32,8.97,155.0,3.8
983B0B3F38DA237,11.17,5.0,4.8
5BE9ADE1B63F955,23.33,16.0,3.7
03921BFE699920E,17.16,27.0,1.7
0BDC00C3CAB77DA,33.02,22.0,5.0
0310AC36AD932B8,30.52,105.0,4.9
7D5F52D399379B0,6.82,24.0,
C76EB8E5AD96968,37.24,40.0,5.0
9F317D6DC0CFE1F,0.4,37.0,
78DBF22CDD176F5,95.06,45.0,4.3
7EC3E3691BAAF78,62.3,3.0,
5CF409CF97CD7CA,0.4,29.0,5.0
C85DB51C6C7050C,23.02,42.0,
F81B7A8E4F4E774,0.4,18.0,4.1
B14F8B3AE355CE7,20.72,4.0,5.0
B2010CF07370ABA,54.06,45.0,5.0
8C2B77AF3110B30,84.29,36.0,3.6
62299B347609AA8,28.79,23.0,5.0
8E56F958B3F1ECE,72.65,55.0,4.4
2CB786694DA5C82,5.19,73.0,3.6
FDDDAADCE0F3C76,33.81,7.0,5.0
E5EF85F20820492,15.48,46.0,4.5
368B13A5B0F474F,70.41,65.0,4.5
3C9E8BA796626E7,69.98,44.0,4.9
9A5758CA850A844,8.91,60.0,2.8
EB7285446ECD3E4,119.49,14.0,4.8
5EE3390A95A412A,57.65,16.0,5.0
7D1B0EE2E650061,74.28,22.0,4.1
980D71C1B746D1E,80.71,5.0,4.2
FE7BFCB2C070A17,7.85,24.0,5.0
952B8F42EB8890E,67.33,21.0,4.5
24B4F2939E31DA9,54.09,36.0,2.3
8BBAA49E57DF91E,61.83,59.0,2.2
D03BA32F4E011C7,45.19,116.0,4.8
3DCD3F9D3E13983,38.84,11.0,3.3
9EF4569DFB859E2,27.93,141.0,3.9
E23D9FC5262619D,20.11,25.0,4.8
B955A227DE1964C,39.84,12.0,5.0
FAF71DE79336466,6.52,19.0,3.9
F7A13710AE1C264,52.35,46.0,4.7
42DF266D033EA10,78.79,24.0,5.0
712070D93E0E5FB,15.12,35.0,4.4
854C2D5FB323D34,27.96,33.0,5.0
03D40DFCB6474D9,30.31,39.0,4.5
9E01DB6DBED4BA8,59.66,28.0,4.7
CF73C5E5A13B4B7,8.81,99.0,1.7
9F57D92F10BD0ED,50.53,88.0,
42D4BEC340226D7,0.4,26.0,5.0
16B8B401B5DF474,47.57,25.0,4.3
8F1BB638A80A4BF,80.54,57.0,4.2
66060B1065DF1A6,1.29,60.0,4.6
5DEF46748D62520,7.1,7.0,3.2
1105AE2C0E599F2,26.76,13.0,5.0
6F4CD62ABB4B65A,6.2,45.0,4.6
AF2D7F6C9E5969D,16.13,14.0,
A2AECBCA0E33A4A,13.46,21.0,2.9
384F88B7CCCEBF5,9.63,38.0,4.5
69934282D77E26C,14.77,,3.8
FC17A51C450BAA8,42.56,22.0,3.8
108DFE0A606DAF4,62.84,101.0,4.4
52B6D4BE58A2D25,15.7,18.0,4.0
EEDCCFE887AD796,78.88,7.0,4.2
89534DC5711B6AD,4.46,13.0,4.2
2AD050829F9C355,20.36,39.0,5.0
CD64C388DD5F6C8,48.22,13.0,4.7
DA97DD6271BD5F6,57.65,18.0,2.7
9822DF535249845,12.36,111.0,
F965441AF0EEB33,18.04,,3.5
F99BE06F398AC61,6.36,103.0,4.8
65D1C4F29318394,31.98,16.0,5.0
50668931468DDBF,36.56,12.0,5.0
B74078F181EDC08,46.41,46.0,4.6
0509EB2C2E16FD3,4.74,72.0,3.6
5B443F1AC3824DA,0.4,20.0,
4C4D9743C871647,5.19,13.0,4.6
B17E134595734BC,32.31,39.0,4.1
2F3245DB4036475,37.35,73.0,4.6
5E634D5630B0DA5,6.54,14.0,
FF541713F03B8B7,38.74,27.0,4.4
EEC8E92C8422927,0.4,68.0,
D6C772C26392B24,13.93,12.0,5.0
13A0CFD7D38A59F,58.34,43.0,4.2
2ADE4933F6313A7,48.21,32.0,4.0
3B751C6327009D5,61.65,64.0,
6E613044E24BC08,10.46,68.0,4.8
A4DFA8FEAA7D3E1,89.16,42.0,4.5
1458FA2652A6173,5.6,5.0,
490BC264312F7DB,13.31,2.0,
AF88AC430696825,11.28,168.0,4.9
BBDBAB6285203EC,45.47,25.0,5.0
9D5B8D91D9D6DF7,60.6,10.0,5.0
AE9A5D7A6B3F4F9,85.02,7.0,4.1
A5944B81894B83D,24.98,13.0,2.8
4D16976A34B858C,53.17,,4.8
8793327F6FE4E2A,40.39,8.0,3.9
5B3F9D75D99DA7B,31.7,323.0,4.5
8FBCCA37FD5B4AA,9.51,31.0,3.4
AA6D2D4852EC8DF,86.23,125.0,
70D2875DB46BA10,70.6,22.0,4.0
8D7AB4A39401EBF,14.71,20.0,4.0
9C44DE702D1DA32,11.52,,4.7
7F87B49A991B782,66.63,16.0,3.4
04558E5470CAD8B,41.11,42.0,3.1
8E667131D6BADC0,13.35,35.0,4.0
C6EBA1A85618EB1,5.39,13.0,4.3
1D25F0BB229D9A7,63.95,36.0,
181343A99FC3AB6,29.02,196.0,5.0
9586977B1598E19,78.63,10.0,4.4
2D82A22D4C1A654,5.11,29.0,
F16EB01D2EE1547,70.58,35.0,4.4
E5EA9304430D516,6.23,50.0,4.7
938CB5B086A3AA8,19.78,47.0,4.5
E4B6F84E54E294F,8.99,15.0,4.8
369DE0B014E5249,0.4,60.0,4.7
316EABE4B4737CC,5.41,,4.1
9E10B70D7599717,62.94,13.0,3.4
30051EC788ED80B,57.78,11.0,4.9
46A7BFB6EEAFE3A,85.2,66.0,4.4
10C00FBA9CDCC4A,11.36,48.0,2.3
20D5A585BBCE74A,35.88,17.0,5.0
6E5F6B0933C7708,7.33,23.0,2.8
B1332B9495F9ED4,21.63,7.0,
37084A0612F38A4,0.4,14.0,4.4
9EC3F4B4B6E249B,21.75,54.0,
167CEF524EE0CCE,27.06,5.0,5.0
FF7B1FEB44AF235,17.92,19.0,4.5
E4959985CF5A641,69.06,,
6EBFABCD2EF7AD2,51.49,14.0,5.0
4F96004ECCE9776,9.5,,4.3
8432E4BF2426CD1,4.15,22.0,3.0
4DBF4E2E5A94EEB,0.4,6.0,5.0
4850D8513003BA5,17.41,19.0,3.7
121DB16984DDDD6,45.4,24.0,
6FD098D9F55E08B,71.89,43.0,5.0
003C986D84AA6C4,7.47,11.0,3.6
80CBFBB8A699EE5,15.82,4.0,4.4
290B4F5466CE8D2,49.48,,4.9
69D03004FBD5ED1,74.94,50.0,5.0
EF174607F121580,14.61,16.0,2.7
525DB9E65F3923C,8.96,19.0,4.7
EC4DDE179766E3E,8.27,34.0,5.0
4AEF62C8B45593F,86.15,23.0,4.1
BE03CFC0874A23C,17.61,4.0,4.0
FC9EFE7FB50009C,19.47,,4.4
EE7BE64D6C63495,17.64,35.0,4.4
DF040BC7681966C,16.23,58.0,2.2
1847463FFB7D4C6,1.91,31.0,3.6
FDEEA27DA261688,99.75,20.0,4.5
C653BB597E737CE,64.01,,3.3
D3C9973D80D7353,21.02,11.0,3.8
6A66DA4DDF80F01,25.1,11.0,2.2
FD4005A45DECA90,46.73,12.0,4.1
89E14AFB92BA68E,6.36,17.0,2.8
79E425B858AE68E,16.82,3.0,2.9
AB9F15ED408200C,0.5,122.0,4.5
04BCC4F7AB23190,9.61,6.0,4.8
773FDBE1DAE1C45,23.64,349.0,
5FE587696058C66,9.47,6.0,3.7
37895ABBFE3B183,60.34,3.0,4.7
B640905801FB989,0.4,15.0,4.2
D10001D9D263A44,51.32,23.0,3.4
6417D8A6497C3D9,54.72,6.0,
8933D254C619ACA,10.43,10.0,
661DB8318710FAA,51.98,131.0,4.5
4B12C266E87A54B,35.69,157.0,4.2
D4E554706FE915F,29.19,498.0,3.6
688865B8E5A6D0B,72.77,76.0,
07B9495303EECF7,0.4,116.0,4.0
078CEFD7DCE5809,16.07,43.0,
8329B98201E5170,56.21,,4.2
7C0350ECD92796D,0.4,5.0,5.0
22675B2E174C0F6,48.03,13.0,3.7
7CF987AEB9FDC29,48.95,21.0,3.3
3C2AC4B77F69961,15.78,20.0,4.7
DC81D1CD3B2D4E6,8.82,35.0,4.3
30580DB64737B72,54.54,54.0,4.2
5B54B37C2C6F037,27.57,29.0,5.0
AA690A900E9B032,6.34,107.0,4.4
E95BE9C75350D08,0.4,51.0,4.2
6821E80866BA607,12.08,7.0,4.0
F434554C74CBF58,16.58,20.0,4.8
F2BE441F11E17E1,62.52,,4.1
93819A71BF8E66B,10.85,17.0,4.2
536294FC193665B,6.85,356.0,4.8
195999B1A055862,72.37,10.0,
D8E6962A73AE293,4.87,213.0,3.0
A50B35A9B28CDD6,15.85,57.0,4.1
193AD5B775360A0,16.46,18.0,2.0
0FDF5078C5A82A0,8.71,29.0,4.6
8F9F0834DD7239B,5.79,27.0,3.8
710163FAE50C5C4,96.53,,4.1
1DFF5BDA6A5C2A1,78.35,14.0,4.4
484D8AC4FBDF137,14.69,29.0,5.0
81F458403A208E7,76.11,92.0,
2A04058FD3D3E43,41.05,213.0,
A16C14ECF6BE919,33.79,8.0,4.7
5C77C1670E6E007,47.88,8.0,2.8
FE96BC5F6812744,86.45,,3.7
802CAC08B4C1712,51.61,73.0,4.5
263D83AEF27AE88,12.46,,4.5
7EE476CE8D2EABD,74.49,58.0,3.7
BB1FD19B47FDEAB,54950.0,64.0,
9009E9F7D925525,64.67,10.0,4.2
940BD77CFD18843,28.1,14.0,
F4B033644C2F01D,55.59,39.0,4.3
C12479E509AEAFD,40.48,88.0,4.5
9004E9377A90AEC,72.21,11.0,3.6
0CE94505A85C35C,90.27,75.0,3.4
8A0C9791C5F3187,66.05,27.0,5.0
B1C2881FD7C5730,80.69,31.0,1.9
338AFE9574EDA51,33.35,95.0,4.3
F8F55895CA87B15,7.62,35.0,4.1
49861A2E57693FC,22.88,25.0,4.2
EFC919293B315CD,14.56,25.0,
13215233B142567,77.95,74.0,5.0
E01F7EAFF77463D,16.09,7.0,4.0
493408AF978DF7C,7.75,45.0,3.7
30CFB8CD2EB16EA,38.06,76.0,4.0
0E0AA45A59231D1,53.78,4.0,4.5
717B93CE02C3779,38.85,35.0,4.1
1EC9EC57CE62E20,27.45,,3.9
E6C5D825C6A6472,39.77,68.0,5.0
22C7CC953194382,52.05,3.0,4.1
3F94FA15CFCBCA9,58.92,,4.5
1BAADAC2EB8673F,38.04,17.0,3.6
6882D607105CE5E,13.13,58.0,4.9
BE83BB411790E1C,2.58,94.0,2.9
D3B99A39B763E72,3.75,,3.1
2E8B0E8435BBFED,57.55,12.0,4.7
A2C78D6F07748BF,0.4,131.0,2.5
B956CEE3CE7206B,41.4,60.0,4.2
8B43F63A809B083,0.4,71.0,3.8
6691E981A57E7C4,67.33,40.0,
8A1572B188252DD,1.63,52.0,5.0
03F6D748D81D7F3,59.13,34.0,5.0
874B4E4FE03142F,50.87,30.0,5.0
4F038E3F15FDFDE,17.11,4.0,5.0
1BB6F835FDE1F1F,1.86,24.0,4.6
C52A84BEB9C8B59,88.01,22.0,4.8
D212411EF499724,2.97,27.0,5.0
498310FD7A2739E,35.7,2.0,4.9
278925B14F22BC1,0.4,71.0,5.0
4BAEAE76019E8D8,33.21,73.0,4.4
AAC6578DE895124,62.16,14.0,5.0
CB69255AD25F870,6.57,17.0,3.9
5624A5DB903EE8A,52.02,36.0,4.6
9485570CD9BB873,41.66,132.0,4.2
137FB0DE5307196,9.73,51.0,4.8
605F650007CD80F,10.26,12.0,2.4
194F21D6157EDE5,24.68,70.0,4.6
3CEB7A1880F8B71,36.37,40.0,4.0
2A88820E5B77672,64.75,33.0,4.7
5F02D34090BD4FD,19.54,6.0,4.9
0714279698D88DC,16.19,32.0,4.4
7D56C4F4944C6EE,4.58,38.0,4.7
DDE0EDFD456ADC2,69.12,65.0,5.0
93211F3CC1961C0,1.94,33.0,5.0
DCD64ABC58BDC16,42.71,38.0,3.9
9774DBCBC72D8C6,17.29,111.0,4.9
363657322404961,0.88,35.0,4.4
600ECC9D7F2FED7,15.68,7.0,
511B6A93115705B,50.71,33.0,3.4
60E9EE0D27A28D3,61.89,11.0,3.9
AD782143FECAF34,10.03,4.0,4.2
BA046C75D752816,68.07,19.0,3.4
E187E679F2F5C5E,51.76,9.0,4.9
73363D5A3B6CC8A,0.4,9.0,4.8
C6021699D5FD7A3,9.01,7.0,4.0
64D429E5DCEF321,14.42,38.0,
7F37D5868AD2346,39.02,20.0,3.7
35B31FCAF40AE14,51.89,23.0,3.7
95F973A1674425A,12.24,19.0,2.2
48242DD631171F4,34.59,97.0,4.6
F174EEFCF9FAC30,39.55,20.0,4.2
50E1874D0259DAA,14.92,69.0,2.2
E816364E8950F22,4.3,38.0,5.0
D2A8F84AE056878,0.4,59.0,4.2
F9CAA9458075CE7,88.28,28.0,4.1
5828AFB32CA6863,55.31,25.0,3.7
3648046EA381076,68.08,65.0,4.4
F14C406F1EFB7E9,3.16,36.0,4.3
D363F784EB746C1,0.88,18.0,5.0
A7405EC35B6D897,67.04,7.0,
296BF4EBFC2136E,31.87,75.0,4.1
20252140B7049FF,11.92,45.0,4.9
888160CBFB064D8,4.01,20.0,5.0
B583C2036BC95FA,67.05,20.0,3.6
F1BCD168E3413E7,57.82,23.0,
2A74E31E5A0F023,10.05,61.0,5.0
565519F92BEAF8D,50.02,23.0,4.1
ED13C18A38E88B9,20.77,85.0,4.8
4159C4168850C7F,10.43,20.0,5.0
BA510D83C337040,47.33,69.0,
582E624D35C94BB,9.47,39.0,4.3
547A7D455344F9E,12.53,27.0,1.7
9598AA7D30FB619,109.23,71.0,
D5DE4566C5F74D3,23.56,12.0,2.0
AF21023AD23D471,72.36,17.0,5.0
10A1833C573336F,9.32,9.0,5.0
820EF7EFA1CE431,0.4,7.0,5.0
85FB787C2CB6540,10.73,23.0,3.0
6C2CCC1EF4FFE12,53.12,30.0,
B5B26D59DDFD9B0,62.61,12.0,4.2
01D53224678D867,17.77,27.0,2.2
8D9D0CBB5C408BF,41.59,37.0,4.6
2FA3823787A2E3F,32.46,,4.4
04927F3271E5624,4.33,18.0,3.5
5D7428B806F68C1,55.41,,4.5
E1E409F57D365E2,11.39,,5.0
DE2CD217EAE7F08,12.2,10.0,4.8
DB920F7D0A713D9,63.74,10.0,3.8
B545AA7A2E8C7F6,8.51,4.0,5.0
C830E0FD28D84BE,56.89,54.0,
99FE620B86A2474,6.15,8.0,4.7
30FF5AA656A0F35,11.21,14.0,4.4
B2C248502467CD7,48.29,3.0,
04559FADF20D4E0,7.81,98.0,4.7
D40F9BCADF019C8,60.89,76.0,
B68737981691616,68.55,44.0,4.4
2B1B50E46F7603C,34.59,97.0,4.6
C5A0913142C61C7,86.9,18.0,3.4
12ECE598317563B,21.1,29.0,2.9
93797BA645CC14C,54.23,53.0,4.5
E3E3327B6B23605,50.01,88.0,
918C9355E885B98,52.41,5.0,4.6
C43D8A132B2A7DD,28.99,105.0,4.2
72AE16B40EC92ED,54.66,15.0,4.7
213E0BA0371FC73,51.81,76.0,5.0
4E117F18742B3FB,46.5,167.0,4.4
61D7966765E2D73,10.67,65.0,
9271FE3301983CD,99.12,14.0,4.1
D8314E4C73571CF,8.48,6.0,4.8
391FD4D9664C6FD,81.55,20.0,5.0
902687C087930EC,54.3,12.0,5.0
DB8260D3241016F,0.52,20.0,4.8
39DBE8A0A74BE2C,0.4,14.0,4.8
E1D24AE2757916F,42.95,19.0,1.2
9CB13B27CCAEB41,27.21,,4.1
2EA467782C570C8,35.45,9.0,
4745064E624C072,52.79,4.0,3.4
BE446FBAF4EEA93,12.06,7.0,4.1
9E29CB3B28E17A1,29.36,4.0,5.0
48BAEE43E738678,7.43,18.0,4.0
D345E250EAFDCBD,51.32,27.0,4.4
7B290E63C6B780C,11.53,4.0,4.6
80EDE9D57359886,0.4,28.0,4.8
A9BB521C324D99F,66.82,33.0,5.0
35827B8B58010BD,56.39,11.0,4.6
FF163E5AB130352,93.78,11.0,4.3
C204B8811A316DD,9.78,112.0,4.4
EACE5C1D67F5659,52.56,,4.4
BD743DBD252B64F,47.75,164.0,3.8
E5949BA5213AC0A,36.7,,3.7
C12853993A5184A,84.23,12.0,
AF4370ED0EA4E49,51.71,7.0,2.0
C1F0A54A40E97B5,36.81,15.0,3.8
781829C472CE7CE,0.4,34.0,4.6
1B59D4C6170D515,81.06,73.0,4.1
E590841F91B4FE6,53.35,6.0,4.9
8772568DE1CC94C,27.43,308.0,3.6
A286145AF2E1896,13.73,26.0,4.5
A0D48D393D7F930,46.87,19.0,4.0
12D728D14998EC1,3.38,15.0,5.0
4CE9427A0685245,0.4,40.0,4.2
307B8E93B0F195F,73.81,12.0,3.8
8FE0B348FAD0B9C,63.82,175.0,3.9
A75FEC19312BE29,12.35,18.0,4.4
3711248F70A2F72,20.27,23.0,2.8
E7F110DDF10F658,83.81,105.0,4.1
B08E9E07C0ADBA7,10.13,33.0,3.9
AEDB6F97F9C8EE3,16.38,122.0,
D2A8882DCC78D2D,19.48,30.0,3.3
4DD5D4F8487382B,7.16,31.0,
889E69BBBB44960,11.41,13.0,
6AD38BC8ED49486,37.4,24.0,
6913225EACE151D,20.71,11.0,1.8
EBB1153246FF5E6,2.33,148.0,4.2
A77581FF4BBFB33,38.77,,4.0
66732F95B791D27,73.45,95.0,4.4
00AE55881D9B5DC,26.06,59.0,4.2
EB491E200D4E0E8,0.4,52.0,5.0
4D927E27307FCA6,3.21,21.0,4.2
D6FC8E81237FE1C,62.66,22.0,5.0
02EABE27B6E57A2,0.4,58.0,4.0
A8CFC1B92B44F32,46.07,26.0,3.7
6D324CA3709C227,50.86,50.0,4.0
C0E1BEF671A3EB4,66.31,5.0,4.8
1129E2593883B29,0.4,64.0,4.7
124494D4B98410E,4.07,9.0,5.0
DFD20189B474E56,45.89,28.0,5.0
6A11FD2D3AF8246,43.86,10.0,5.0
433B0DAD409C9B2,14.72,21.0,3.6
2A291ED2CFF4E76,0.4,29.0,4.8
5C4CA8739161464,41.84,107.0,4.5
C6E67C54B5BAD8F,41.65,29.0,4.4
DEBDE8FB3F29F24,0.4,,4.0
0B357B27B9484CE,75.25,75.0,3.9
C6EDB1984CF4BED,45.4,,
B4267A0BE30F63A,15.58,31.0,1.8
31A5E7E9EB779CA,63.93,15.0,2.6
6E747D4F6A574C9,97.38,52.0,3.3
